degraded_path,gt_path,resolution_pair,source_id
data/raw/train/NoisyLR/000000.npy,data/raw/train/GT/000000.npy,128->256,cluster_0
data/raw/train/NoisyLR/000001.npy,data/raw/train/GT/000001.npy,128->256,cluster_0
data/raw/train/NoisyLR/000002.npy,data/raw/train/GT/000002.npy,128->256,cluster_0
data/raw/train/NoisyLR/000003.npy,data/raw/train/GT/000003.npy,128->256,cluster_0
data/raw/train/NoisyLR/000004.npy,data/raw/train/GT/000004.npy,128->256,cluster_0
data/raw/train/NoisyLR/000005.npy,data/raw/train/GT/000005.npy,128->256,cluster_0
data/raw/train/NoisyLR/000006.npy,data/raw/train/GT/000006.npy,128->256,cluster_0
data/raw/train/NoisyLR/000007.npy,data/raw/train/GT/000007.npy,128->256,cluster_0
data/raw/train/NoisyLR/000009.npy,data/raw/train/GT/000009.npy,128->256,cluster_2
data/raw/train/NoisyLR/000012.npy,data/raw/train/GT/000012.npy,128->256,cluster_0
data/raw/train/NoisyLR/000013.npy,data/raw/train/GT/000013.npy,128->256,cluster_1
data/raw/train/NoisyLR/000014.npy,data/raw/train/GT/000014.npy,128->256,cluster_1
data/raw/train/NoisyLR/000015.npy,data/raw/train/GT/000015.npy,128->256,cluster_1
data/raw/train/NoisyLR/000016.npy,data/raw/train/GT/000016.npy,128->256,cluster_1
data/raw/train/NoisyLR/000017.npy,data/raw/train/GT/000017.npy,128->256,cluster_1
data/raw/train/NoisyLR/000018.npy,data/raw/train/GT/000018.npy,128->256,cluster_1
data/raw/train/NoisyLR/000019.npy,data/raw/train/GT/000019.npy,128->256,cluster_1
data/raw/train/NoisyLR/000020.npy,data/raw/train/GT/000020.npy,128->256,cluster_1
data/raw/train/NoisyLR/000021.npy,data/raw/train/GT/000021.npy,128->256,cluster_0
data/raw/train/NoisyLR/000022.npy,data/raw/train/GT/000022.npy,128->256,cluster_0
data/raw/train/NoisyLR/000023.npy,data/raw/train/GT/000023.npy,128->256,cluster_0
data/raw/train/NoisyLR/000024.npy,data/raw/train/GT/000024.npy,128->256,cluster_2
data/raw/train/NoisyLR/000025.npy,data/raw/train/GT/000025.npy,128->256,cluster_0
data/raw/train/NoisyLR/000026.npy,data/raw/train/GT/000026.npy,128->256,cluster_0
data/raw/train/NoisyLR/000027.npy,data/raw/train/GT/000027.npy,128->256,cluster_0
data/raw/train/NoisyLR/000028.npy,data/raw/train/GT/000028.npy,128->256,cluster_1
data/raw/train/NoisyLR/000029.npy,data/raw/train/GT/000029.npy,128->256,cluster_1
data/raw/train/NoisyLR/000031.npy,data/raw/train/GT/000031.npy,128->256,cluster_1
